Contact,AccountId,Salutation,FirstName,LastName,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,tth_Base_Loyalty_Points__c,tth_Loyalty_Program_Number__c,tth_Loyalty_Status__c,tth_Next_Loyalty_Level_Threshold__c,tth_Business_Traveler__c,tth_Medical_Alerts__c,tth_Personal_Traveler__c,tth_preference_air_Pref_Dep_Airport__c,tth_preference_air_Seat__c,tth_preference_air_Seat_Section__c,tth_preference_air_Special_Meals__c,tth_preference_hotel_Accessibility_Needs__c,tth_preference_hotel_Hotel_Amenities__c,tth_preference_hotel_Room_Type__c,tth_preference_hotel_Smoking_Preference__c,tth_preference_rental_Car_Transmission__c,tth_preference_rental_Car_Type__c,tth_preference_rental_Smoking_Preference__c,tth_Traveler_Value_Score__c,tth_VIP_Traveler__c,Cust360_ChurnRisk__c,Cust360_Contact_Picture_URL__c,Cust360_CSAT__c,Cust360_Id__c,Cust360_Metric1__c,Cust360_Metric2__c,tth_Trip_Stage__c,tth_Trip_Sub_Stage__c,tth_Experiencing_Trip_Disruption__c
Contact.001,Account.001,Ms.,Lauren,Boyle,2725 Quarry Rd,Montgomery,PA,19009,United States,12011 Government Center Pkwy,Fairfax,CA,22035,United States,(415) 555-1212,(276) 555-0182,(415) 555-1212,528-490-8868,(415) 555-0191,(415) 555-0150,lboyle@example.com,"SVP, Technology",Operations,Markus Conaway,Cold Call,258000,2110633262,Gold,450000,Yes,,Yes,SFO,Window,Forward,Gluten Free Meal,,Pool;Gym,King,Non-Smoking,Automatic,Compact Car,Non-Smoking,845,Yes,87,/resource/tth_Lauren360Photo,5,687164726-252,Gold,845,PreTrip,"No Future Booking	",0
Contact.002,Account.001,Mr.,Mark,Kingston*,2725 Quarry Rd,Montgomery,PA,19009,United States,12011 Government Center Pkwy,Fairfax,VA,22035,United States,(769) 555-0197,(769) 555-0182,,783-383-8412,(415) 555-0191,(415) 555-0150,mkingston@example.com,Project Manager,Marketing,Laurence Fryer,Cold Call,50693,965 982 8992,Gold,15000,Yes,,No,DCA,Aisle,Exit Row,Low Calorie Meal,,,Twin,Smoking,Manual,Intermediate Car,Smoking,469,No,11,,4,510295289-865,Gold,469,OnTrip,Experiencing Disruption,1
Contact.003,Account.001,Mr.,James,Wu,2725 Quarry Rd,Montgomery,PA,19009,United States,12011 Government Center Pkwy,Fairfax,VA,22035,United States,(274) 555-0197,(274) 555-0182,,475-416-6352,(770) 555-0191,(770) 555-0150,jwu@example.com,VP of Sales,Operations,Adrain Barra,Purchased List,0,,Non-Member,15000,No,,No,DCA,Aisle,Bulkhead,Kosher Meal,,,Queen,Don't Care,Manual,Compact Car,Don't Care,620,Yes,83,,1,608079904-919,Non-Member,620,PostTrip,Positive Sentiment,0
Contact.004,Account.001,Mr.,Bob,Hodges,2725 Quarry Rd,Montgomery,PA,19009,US,2725 Quarry Rd,Montgomery,PA,19009,US,(422) 555-0100,(422) 555-0199,(422) 555-0188,422-578-5922,(422) 555-0191,(422) 555-0150,bhodges@example.com,President and CEO,C-Level,Jean Halsey,Social Media,64311,673 412 6308,Silver,15000,No,,Yes,PHL,Aisle,Forward,Low Calorie Meal,,,Single,Don't Care,Automatic,Intermediate SUV,Don't Care,461,No,28,,4,850428235-727,Silver,461,PreTrip,No Future Booking,0
Contact.005,Account.010,Mr.,Tom,Reseller,6069 NE 49th Ave,Multnomah,OR,97218,United States,500 Battery Street,San Francisco,CA,94105,United States,(344) 555-0197,(344) 555-0182,(344) 555-0144,721-779-3639,(415) 555-0191,(415) 555-0150,treseller@example.com,Account Executive,Sales,Benito Mallory,Social Media,0,,Non-Member,15000,No,,Yes,SFO,Window,Forward,Low Calorie Meal,,,Disability,Smoking,Manual,Compact Car,Smoking,725,Yes,84,,2,829395898-520,Non-Member,725,PreTrip,No Future Booking,0
Contact.006,Account.008,Mr.,Steve,Ideas,,,,,,3418 Poplar Ave,Shelby,TN,38111,United States,(674) 555-0197,(674) 555-0182,(674) 555-0144,,(674) 555-0191,(674) 555-0150,sideas@example.com,VP of Operations,,Katy Highfill,Cold Call,215006,319 456 8869,Bronze,15000,Yes,,Yes,BNA,Aisle,Exit Row,Diabetic Meal,,,Single,Non-Smoking,Manual,Compact Car,Non-Smoking,414,No,70,,2,376138091-773,Bronze,414,OnTrip,Smooth Travels,0
Contact.008,Account.007,Dr.,Sean,Forbes,4191 Tamarus St,Clark,NV,89119,US,4191 Tamarus St,Clark,NV,89119,US,(237) 555-0100,(237) 555-0199,(237) 555-0188,237-396-4506,(237) 555-0191,(237) 555-0150,sforbes@example.com,CFO,C-Level,Shayla Summerfield,Cold Call,348717,814 456 3651,Gold,15000,Yes,,No,LAS,Aisle,Exit Row,Low Calorie Meal,,,Single,Don't Care,Automatic,Intermediate SUV,Don't Care,828,Yes,71,,0,341146234-638,Gold,828,PreTrip,No Future Booking,0
Contact.009,Account.006,Mr.,Sean,Murphy,178 San Jose Ave,Santa Clara,CA,95125,US,178 San Jose Ave,Santa Clara,CA,95125,US,(576) 555-0100,(576) 555-0199,(576) 555-0188,576-275-7558,(576) 555-0191,(576) 555-0150,smurphy@example.com,Program Director,Marketing,Antony Leggett,Social Media,79548,356 461 6591,Silver,15000,No,,No,SFO,Window,Bulkhead,Regular Meal,,,King,Smoking,Don't Care,Intermediate Car,Smoking,553,Yes,75,,2,398065986-867,Silver,553,OnTrip,Experiencing Disruption,1
Contact.010,Account.006,Ms.,Stephanie,Curran,178 San Jose Ave,Santa Clara,CA,95125,US,178 San Jose Ave,Santa Clara,CA,95125,US,(690) 555-0100,(690) 555-0199,(690) 555-0188,690-904-7602,(690) 555-0191,(690) 555-0150,scurran@example.com,VP of Strategy,Business Development,Kent Robert,Cold Call,312007,931 562 7363,Gold,15000,No,,No,LAX,Middle,Bulkhead,Kosher Meal,,,Queen,Non-Smoking,Manual,Any Car Class,Non-Smoking,640,Yes,71,,0,521884690-480,Gold,640,OnTrip,Experiencing Disruption,1
Contact.011,Account.006,Mr.,Steve,Mcdonald,178 San Jose Ave,Santa Clara,CA,95125,US,178 San Jose Ave,Santa Clara,CA,95125,US,(631) 555-0100,(631) 555-0199,(631) 555-0188,631-570-1324,(631) 555-0191,(631) 555-0150,smcdonald@example.com,Chief Information Officer,C-Level,Jason Churchill,Social Media,74042,905 583 9325,Silver,15000,No,,No,LAX,Aisle,Forward,Low Calorie Meal,,,Queen,Smoking,Don't Care,Economy Car,Smoking,434,No,12,,4,453572157-718,Silver,434,OnTrip,Experiencing Disruption,1
