"ID","EXTERNAL_ID__C","FIRSTNAME","LASTNAME","PERSONEMAIL","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","PHONE","FAX","TTH_BASE_LOYALTY_POINTS__PC","TTH_LOYALTY_PROGRAM_NUMBER__PC","TTH_LOYALTY_STATUS__PC","TTH_NEXT_LOYALTY_LEVEL_THRESHOLD__PC","TTH_BUSINESS_TRAVELER__PC","TTH_MEDICAL_ALERTS__PC","TTH_PERSONAL_TRAVELER__PC","TTH_PREFERENCE_AIR_PREF_DEP_AIRPORT__PC","TTH_PREFERENCE_AIR_SEAT__PC","TTH_PREFERENCE_AIR_SEAT_SECTION__PC","TTH_PREFERENCE_AIR_SPECIAL_MEALS__PC","TTH_PREFERENCE_HOTEL_ACCESSIBILITY_NEEDS__PC","TTH_PREFERENCE_HOTEL_HOTEL_AMENITIES__PC","TTH_PREFERENCE_HOTEL_ROOM_TYPE__PC","TTH_PREFERENCE_HOTEL_SMOKING_PREFERENCE__PC","TTH_PREFERENCE_RENTAL_CAR_TRANSMISSION__PC","TTH_PREFERENCE_RENTAL_CAR_TYPE__PC","TTH_PREFERENCE_RENTAL_SMOKING_PREFERENCE__PC","TTH_TRAVELER_VALUE_SCORE__PC","TTH_VIP_TRAVELER__PC","CUST360_CHURNRISK__PC","CUST360_CONTACT_PICTURE_URL__PC","CUST360_CSAT__PC","CUST360_ID__PC","CUST360_METRIC1__PC","CUST360_METRIC2__PC","TTH_TRIP_STAGE__PC","TTH_TRIP_SUB_STAGE__PC","TTH_EXPERIENCING_TRIP_DISRUPTION__PC","TTH_MOBILE_APP_INSTALLED__PC","TTH_PROFILE_COMPLETION__PC","STATUS"
"0016g000008CG0YAAW","Paccount.002","Larry","Baxter","","850 Mission St","San Francisco","CA","94103","US","850 Mission St","San Francisco","CA","94103","US","(415) 555-0100","(415) 555-0199","353724","961 904 4710","Silver","15000","Yes","","Yes","SFO","Middle","Bulkhead","Kosher Meal","","","Twin","Don't Care","Automatic","Intermediate SUV","Don't Care","578","Yes","22","","4","801259313-693","Silver","578","PostTrip","Positive Sentiment	","0","0","0.54","Item Updated"
"0016g000008CG0ZAAW","Paccount.003","Heather","Young","heather@example.com","5970 Seville Ave","Los Angeles","CA","90255","US","5970 Seville Ave","Los Angeles","CA","90255","US","(310) 555-0100","(310) 555-0122","0","2101556945","Bronze","20000","Yes","","Yes","LAX","Aisle","Forward","Vegetarian","","Gym;Pool;Late Check-in","King","Non-Smoking","Automatic","Intermediate Car","Non-Smoking","768","Yes","15","/resource/tth_Helen360Photo","3","542686-362","Bronze","768","PreTrip","Has Future Booking","0","1","0.85","Item Updated"
"0016g000008CG1FAAW","Paccount.004","Peter","Houston","","2230 W 63rd St","Cook","IL","60636","US","2230 W 63rd St","Cook","IL","60636","US","(415) 555-0100","(415) 555-0199","50699","465 444 7656","Silver","15000","Yes","","No","ORD","Aisle","Bulkhead","Regular Meal","","","Single","Non-Smoking","Manual","Intermediate Car","Non-Smoking","464","No","35","","4","396323626-545","Silver","464","PostTrip","Positive Sentiment","0","0","0.21","Item Updated"
"0016g000008CG1VAAW","Paccount.006","Troy","Bullock","","906 N Broadview Ave","Wichita","KS","67208","US","906 N Broadview Ave","Wichita","KS","67208","US","(704) 555-0100","(704) 555-0199","336461","197 547 1286","Gold","15000","Yes","","No","ICT","Window","Exit Row","Low Calorie Meal","","","Twin","Don't Care","Manual","Intermediate SUV","Don't Care","756","Yes","92","","2","128774538-784","Gold","756","PostTrip","Positive Sentiment	","0","0","0.8","Item Updated"
"0016g000008CG1WAAW","Paccount.007","Mike","Malmin","","907 N Broadview Ave","Wichita","KS","67208","US","907 N Broadview Ave","Wichita","KS","67208","US","(317) 555-0100","(317) 555-0199","198615","416 376 3176","Bronze","15000","No","","No","ICT","Aisle","Rear","Low Calorie Meal","","","King","Non-Smoking","Automatic","Any Car Class","Non-Smoking","505","No","34","","3","229020094-805","Bronze","505","PostTrip","Positive Sentiment	","0","0","0.93","Item Updated"
"0016g000008CG1XAAW","Paccount.008","Kari","Rende","","908 N Broadview Ave","Wichita","KS","67208","US","908 N Broadview Ave","Wichita","KS","67208","US","(630) 555-0100","(630) 555-0199","88519","891 516 2864","Gold","15000","No","","Yes","ICT","Window","Exit Row","Low Calorie Meal","","","King","Don't Care","Manual","Compact Car","Don't Care","804","Yes","30","","3","646062982-134","Gold","804","OnTrip","Smooth Travels	","0","1","0.41","Item Updated"
"0016g000008CG1YAAW","Paccount.005","Jon","Allegri","","905 N Broadview Ave","Wichita","KS","67208","US","905 N Broadview Ave","Wichita","KS","67208","US","(813) 555-0100","(813) 555-0199","124322","419 823 4678","Bronze","15000","Yes","","Yes","ICT","Aisle","Exit Row","Diabetic Meal","","","Twin","Smoking","Automatic","Any Car Class","Smoking","416","No","12","","5","816887610-786","Bronze","416","PostTrip","Negative Sentiment	","0","0","0.15","Item Updated"
"0016g000008CG1ZAAW","Paccount.009","Niki","Sullivan","","909 N Broadview Ave","Wichita","KS","67208","US","909 N Broadview Ave","Wichita","KS","67208","US","(702) 555-0100","(702) 555-0199","263886","950 908 6365","Gold","15000","No","","Yes","ICT","Aisle","Exit Row","Diabetic Meal","","","Double","Smoking","Don't Care","Economy Car","Smoking","692","Yes","79","","1","218684644-522","Gold","692","PostTrip","Negative Sentiment	","0","1","0.21","Item Updated"
"0016g000008CG1aAAG","Paccount.010","Chip","Colli","","910 N Broadview Ave","Wichita","KS","67208","US","910 N Broadview Ave","Wichita","KS","67208","US","(206) 555-0100","(206) 555-0199","19943","305 498 6109","Silver","15000","No","","Yes","ICT","Middle","Bulkhead","Diabetic Meal","","","King","Non-Smoking","Manual","Full-size Car","Non-Smoking","462","No","85","","1","482322174-692","Silver","462","OnTrip","Experiencing Disruption	","1","0","0.11","Item Updated"
"0016g000008CG0iAAG","Paccount.011","Robert","Janzen","","911 N Broadview Ave","Wichita","KS","67208","US","911 N Broadview Ave","Wichita","KS","67208","US","(858) 555-0100","(858) 555-0199","240025","149 875 4759","Gold","15000","Yes","","No","ICT","Aisle","Rear","Low Calorie Meal","","","Disability","Smoking","Manual","Standard Car","Smoking","589","Yes","74","","2","249013076-484","Gold","589","PreTrip","No Future Booking	","0","0","0.36","Item Updated"
